knot, stick_number_ub
0_1, 3
3_1, 6
4_1, 7
5_1, 8
5_2, 8
6_1, 8
6_2, 8
6_3, 8
7_1, 9
7_2, 9
7_3, 9
7_4, 9
7_5, 9
7_6, 9
7_7, 9
8_1, 10
8_2, 10
8_3, 10
8_4, 10
8_5, 10
8_6, 10
8_7, 10
8_8, 10
8_9, 10
8_10, 10
8_11, 10
8_12, 10
8_13, 10
8_14, 10
8_15, 10
8_16, 9
8_17, 9
8_18, 9
8_19, 8
8_20, 8
8_21, 9
9_1, 10
9_2, 10
9_3, 10
9_4, 10
9_5, 10
9_6, 11
9_7, 10
9_8, 10
9_9, 10
9_10, 10
9_11, 10
9_12, 10
9_13, 10
9_14, 10
9_15, 10
9_16, 10
9_17, 10
9_18, 11
9_19, 10
9_20, 10
9_21, 10
9_22, 10
9_23, 11
9_24, 10
9_25, 10
9_26, 10
9_27, 10
9_28, 10
9_29, 9
9_30, 10
9_31, 10
9_32, 10
9_33, 10
9_34, 9
9_35, 9
9_36, 11
9_37, 10
9_38, 10
9_39, 9
9_40, 9
9_41, 9
9_42, 9
9_43, 9
9_44, 9
9_45, 9
9_46, 9
9_47, 9
9_48, 9
9_49, 9
10_1, 11
10_2, 11
10_3, 11
10_4, 11
10_5, 11
10_6, 11
10_7, 11
10_8, 10
10_9, 11
10_10, 11
10_11, 11
10_12, 11
10_13, 11
10_14, 11
10_15, 11
10_16, 10
10_17, 10
10_18, 11
10_19, 11
10_20, 11
10_21, 11
10_22, 11
10_23, 11
10_24, 11
10_25, 11
10_26, 11
10_27, 11
10_28, 11
10_29, 11
10_30, 11
10_31, 11
10_32, 11
10_33, 11
10_34, 11
10_35, 11
10_36, 11
10_37, 12
10_38, 11
10_39, 11
10_40, 11
10_41, 11
10_42, 11
10_43, 11
10_44, 11
10_45, 11
10_46, 11
10_47, 11
10_48, 10
10_49, 11
10_50, 11
10_51, 11
10_52, 11
10_53, 11
10_54, 11
10_55, 11
10_56, 10
10_57, 11
10_58, 12
10_59, 11
10_60, 11
10_61, 11
10_62, 11
10_63, 11
10_64, 11
10_65, 11
10_66, 12
10_67, 11
10_68, 11
10_69, 11
10_70, 11
10_71, 11
10_72, 11
10_73, 11
10_74, 11
10_75, 11
10_76, 12
10_77, 11
10_78, 11
10_79, 11
10_80, 12
10_81, 11
10_82, 11
10_83, 10
10_84, 11
10_85, 10
10_86, 11
10_87, 11
10_88, 11
10_89, 11
10_90, 10
10_91, 10
10_92, 11
10_93, 11
10_94, 10
10_95, 11
10_96, 11
10_97, 11
10_98, 11
10_99, 11
10_100, 11
10_101, 11
10_102, 10
10_103, 10
10_104, 10
10_105, 10
10_106, 10
10_107, 10
10_108, 10
10_109, 10
10_110, 10
10_111, 10
10_112, 10
10_113, 10
10_114, 10
10_115, 10
10_116, 10
10_117, 10
10_118, 10
10_119, 10
10_120, 10
10_121, 10
10_122, 10
10_123, 11
10_124, 10
10_125, 10
10_126, 10
10_127, 10
10_128, 10
10_129, 10
10_130, 10
10_131, 10
10_132, 10
10_133, 10
10_134, 10
10_135, 10
10_136, 10
10_137, 10
10_138, 10
10_139, 10
10_140, 10
10_141, 10
10_142, 10
10_143, 10
10_144, 10
10_145, 10
10_146, 10
10_147, 10
10_148, 10
10_149, 10
10_150, 10
10_151, 10
10_152, 11
10_153, 10
10_154, 11
10_155, 10
10_156, 10
10_157, 10
10_158, 10
10_159, 10
10_160, 10
10_161, 10
10_162, 10
10_163, 10
10_164, 10
10_165, 10
